isbn,book_title,author,class_title,professor
9780691247939,Eros the Bittersweet: An Essay (Princeton Classics),"Carson, Anne",Philosophies of Desire,Dr. Ada Jaarsma
9780872207882,"Plato on Love: Lysis, Symposium, Phaedrus, Alcibiades, with Selections from Republic and Laws (Hackett Classics)",Plato,Philosophies of Desire,Dr. Ada Jaarsma
9780691158419,The Seducer's Diary,"Kierkegaard, Søren",Philosophies of Desire,Dr. Ada Jaarsma
9780143037743,On Beauty: A Novel,"Smith, Zadie",Philosophies of Desire,Dr. Ada Jaarsma
9780062969651,Monogamy: A Novel," Miller, Sue",Philosophies of Desire,Dr. Ada Jaarsma
9780786717187,The Birth of Black America: The First African Americans and the Pursuit of Freedom at Jamestown,"Hashaw, Tim",Race and Gender in Jamestown,Dr. Lori
9780807846230,"Good Wives, Nasty Wenches, and Anxious Patriarchs: Gender, Race, and Power in Colonial Virginia (Published by the Omohundro Institute of Early ... and the University of North Carolina Press)","Brown, Kathleen M.",Race and Gender in Jamestown,Dr. Lori
9781032843377,Writing Philosophy Papers,"Seech, Zachary - Kania, Andrew",Race and Gender in Jamestown,Dr. Lori
9780618871711,Fun Home: A Family Tragicomic,"Bechdel, Alison",Our Culture War over Gender Identity,Richard Nunan
9781541672895,Sexing the Body,"Fausto-Sterling, Anne",Our Culture War over Gender Identity,Richard Nunan
9781555838539,Stone Butch Blues: A Novel,"Feinberg, Leslie",Our Culture War over Gender Identity,Richard Nunan
9781580056229,Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity,"Serano, Julia",Our Culture War over Gender Identity,Richard Nunan
