978-0822365790, Continental Crossroads: Remapping U.S.-Mexico Borderlands History, Samuel Truett and Elliot Young (Editors)
978-0520230750," Choice, Persuasion, and Coercion: Social Control on Spain's North American Frontiers", Jesus F. De la Teja and Ross Frank (Editors)
978-0674047847, Borderline Americans: Racial Division and Labor War in the Arizona Borderlands, Katherine Benton-Cohen
978-1469635541, Porous Borders: Multiracial Migrations and the Law in the U.S.-Mexico Borderlands, Julian Lim
978-0520287365, Arise! Global Radicalism in the Era of the Mexican Revolution, Christina Heatherton
978-0520268982, Migra! A History of the U.S. Border Patrol, Kelly Lytle Hernández
978-0674976437, The Injustice Never Leaves You: Anti-Mexican Violence in Texas, Monica Muñoz Martinez
978-1613320093, George Washington GÃ³mez: A Mexicotexan Novel, Américo Paredes
978-0300216380," Grounds for Dreaming: Mexican Americans, Mexican Immigrants, and the California Farmworker Movement", Lori A. Flores
978-1469625269," Defiant Braceros: How Migrant Workers Fought for Racial, Sexual, and Political Freedom", Mireya Loza
978-0806159911," In the Midst of Radicalism: Mexican American Moderates During the Chicano Movement, 1960-1978", Guadalupe San Miguel
978-0691160825, Impossible Subjects: Illegal Aliens and the Making of Modern America, Mae Ngai
978-0292718447, Blockading the Border and Human Rights: The El Paso Operation That Remade Immigration Enforcement, Timothy J. Dunn
978-1558855613, Desert Blood: The JuÃ¡rez Murders, Alicia Gaspar de Alba
978-0520297104, Deported to Death: How Drug Violence is Changing Migration on the U.S.-Mexico Border, Jeremy Slack
978-1478014753, Unsettled Borders: The Militarized Science of Surveillance on Sacred Indigenous Land, Felicity Amaya Schaeffer
